algorithm,tasks,iteration,thread,tasks,time
Priority of vertices calculated in 0.454482 milliseconds.
Priority of vertices calculated in 0.5949099999999999 milliseconds.
Priority of vertices calculated in 0.11406999999999999 milliseconds.
Priority of vertices calculated in 0.11283 milliseconds.
Priority of vertices calculated in 1.3412979999999999 milliseconds.
Priority of vertices calculated in 0.111035 milliseconds.
Priority of vertices calculated in 0.10678599999999999 milliseconds.
Priority of vertices calculated in 0.107777 milliseconds.
Priority of vertices calculated in 0.103957 milliseconds.
Priority of vertices calculated in 0.691689 milliseconds.
Priority of vertices calculated in 0.27327599999999996 milliseconds.
Priority of vertices calculated in 0.07171799999999999 milliseconds.
Priority of vertices calculated in 0.052213999999999997 milliseconds.
Priority of vertices calculated in 0.05352 milliseconds.
Priority of vertices calculated in 0.050237 milliseconds.
Priority of vertices calculated in 1.560868 milliseconds.
Priority of vertices calculated in 0.053422 milliseconds.
Priority of vertices calculated in 0.043618 milliseconds.
Priority of vertices calculated in 0.08010099999999999 milliseconds.
Priority of vertices calculated in 0.079789 milliseconds.
Priority of vertices calculated in 0.080458 milliseconds.
Priority of vertices calculated in 0.074692 milliseconds.
Priority of vertices calculated in 0.074456 milliseconds.
Priority of vertices calculated in 0.14521299999999998 milliseconds.
Priority of vertices calculated in 0.08435999999999999 milliseconds.
Priority of vertices calculated in 0.075862 milliseconds.
Priority of vertices calculated in 0.075594 milliseconds.
Priority of vertices calculated in 0.10414699999999999 milliseconds.
Priority of vertices calculated in 0.105587 milliseconds.
Priority of vertices calculated in 0.15107099999999998 milliseconds.
Priority of vertices calculated in 0.065867 milliseconds.
Priority of vertices calculated in 0.067971 milliseconds.
Priority of vertices calculated in 0.051897 milliseconds.
Priority of vertices calculated in 0.047528999999999995 milliseconds.
Priority of vertices calculated in 0.051649 milliseconds.
Priority of vertices calculated in 0.052017 milliseconds.
Priority of vertices calculated in 0.052690999999999995 milliseconds.
Priority of vertices calculated in 0.10425 milliseconds.
Priority of vertices calculated in 0.522363 milliseconds.
Priority of vertices calculated in 0.055321999999999996 milliseconds.
Priority of vertices calculated in 0.05601 milliseconds.
Priority of vertices calculated in 0.062615 milliseconds.
Priority of vertices calculated in 0.053586999999999996 milliseconds.
Priority of vertices calculated in 0.079038 milliseconds.
Priority of vertices calculated in 0.072735 milliseconds.
Priority of vertices calculated in 0.076177 milliseconds.
Priority of vertices calculated in 0.07110999999999999 milliseconds.
Priority of vertices calculated in 0.07022099999999999 milliseconds.
Priority of vertices calculated in 0.070909 milliseconds.
Priority of vertices calculated in 0.085169 milliseconds.
Priority of vertices calculated in 0.077294 milliseconds.
Priority of vertices calculated in 0.081081 milliseconds.
Priority of vertices calculated in 0.07585299999999999 milliseconds.
Priority of vertices calculated in 0.081423 milliseconds.
Priority of vertices calculated in 0.077835 milliseconds.
Priority of vertices calculated in 0.083053 milliseconds.
Priority of vertices calculated in 0.076184 milliseconds.
Priority of vertices calculated in 0.07614 milliseconds.
Priority of vertices calculated in 0.07966899999999999 milliseconds.
Priority of vertices calculated in 0.081885 milliseconds.
Priority of vertices calculated in 0.078058 milliseconds.
Priority of vertices calculated in 0.077149 milliseconds.
Priority of vertices calculated in 0.08222199999999999 milliseconds.
Priority of vertices calculated in 0.085255 milliseconds.
Priority of vertices calculated in 0.08333 milliseconds.
Priority of vertices calculated in 0.09632299999999999 milliseconds.
Priority of vertices calculated in 0.082685 milliseconds.
Priority of vertices calculated in 0.17324399999999998 milliseconds.
Priority of vertices calculated in 0.176376 milliseconds.
Priority of vertices calculated in 0.17138 milliseconds.
Priority of vertices calculated in 0.169489 milliseconds.
Priority of vertices calculated in 0.165818 milliseconds.
Priority of vertices calculated in 0.17904699999999998 milliseconds.
Priority of vertices calculated in 0.172001 milliseconds.
Priority of vertices calculated in 0.208971 milliseconds.
Priority of vertices calculated in 0.17682399999999998 milliseconds.
Priority of vertices calculated in 0.185716 milliseconds.
Priority of vertices calculated in 0.176114 milliseconds.
Priority of vertices calculated in 0.17193799999999998 milliseconds.
Priority of vertices calculated in 0.26294 milliseconds.
Priority of vertices calculated in 0.340491 milliseconds.
Priority of vertices calculated in 0.284729 milliseconds.
Priority of vertices calculated in 0.275509 milliseconds.
Priority of vertices calculated in 0.263574 milliseconds.
Priority of vertices calculated in 0.26189799999999996 milliseconds.
Priority of vertices calculated in 0.262022 milliseconds.
Priority of vertices calculated in 0.25889799999999996 milliseconds.
Priority of vertices calculated in 0.26595199999999997 milliseconds.
Priority of vertices calculated in 0.263435 milliseconds.
Priority of vertices calculated in 0.267359 milliseconds.
Priority of vertices calculated in 0.397905 milliseconds.
Priority of vertices calculated in 0.313059 milliseconds.
Priority of vertices calculated in 0.281425 milliseconds.
Priority of vertices calculated in 0.281009 milliseconds.
Priority of vertices calculated in 0.070142 milliseconds.
Priority of vertices calculated in 0.061218999999999996 milliseconds.
Priority of vertices calculated in 0.059566999999999995 milliseconds.
Priority of vertices calculated in 0.062083 milliseconds.
Priority of vertices calculated in 0.061992 milliseconds.
Priority of vertices calculated in 0.059905 milliseconds.
Priority of vertices calculated in 0.06 milliseconds.
Priority of vertices calculated in 0.058428999999999995 milliseconds.
Priority of vertices calculated in 0.059799 milliseconds.
Priority of vertices calculated in 0.17041099999999998 milliseconds.
Priority of vertices calculated in 0.16333 milliseconds.
Priority of vertices calculated in 0.14230199999999998 milliseconds.
PRIO,50,3,1,50,7631.641089
PRIO,50,2,1,50,7640.987539
Priority of vertices calculated in 0.170715 milliseconds.
Priority of vertices calculated in 0.21828 milliseconds.
Priority of vertices calculated in 0.129347 milliseconds.
LIFO,50,1,1,50,7640.015547999999
FIFO,50,1,1,50,7644.656282
FIFO,50,1,2,0,7738.491776999999
LIFO,50,1,2,0,7740.441448
LIFO,50,3,1,50,7689.089056999999
FIFO,50,3,1,50,7691.179743
LIFO,50,2,1,50,7663.5473839999995
PRIO,50,3,1,50,7661.867915
PRIO,50,2,1,50,7974.696467999999
LIFO,50,3,2,0,7941.940036999999
PRIO,50,3,2,0,7712.843613999999
FIFO,50,3,2,0,7943.284987
PRIO,50,2,2,0,8040.608077999999
PRIO,50,1,1,50,7946.735240999999
LIFO,50,2,1,50,7690.56588
PRIO,50,2,1,50,7951.938096
FIFO,50,2,2,0,8044.936041
LIFO,50,2,4,0,8043.761611999999
LIFO,50,2,2,0,8044.263892
PRIO,50,2,3,0,8051.837955
LIFO,50,2,3,0,8044.506466
PRIO,50,3,4,0,7977.5536919999995
PRIO,50,3,3,0,7977.814856
FIFO,50,2,3,0,8045.884126999999
FIFO,50,2,4,0,8045.907101
Priority of vertices calculated in 1.605217 milliseconds.
LIFO,50,1,1,50,8759.216457999999
FIFO,50,1,1,50,8745.812149
FIFO,50,1,1,50,7956.635558999999
LIFO,50,1,3,0,8814.817696
PRIO,50,2,2,0,8807.040665
LIFO,50,1,2,0,8815.131583
PRIO,50,2,3,0,8806.90322
FIFO,50,1,2,0,8267.457664
LIFO,50,3,2,0,8225.955251
LIFO,50,3,3,0,8225.616611
PRIO,50,1,2,0,8272.648752
FIFO,50,1,3,0,8261.072314
PRIO,50,1,3,0,8246.084665
PRIO,50,1,1,50,8194.139976999999
LIFO,50,1,1,50,8714.002917
PRIO,50,2,1,50,8692.448295
FIFO,50,2,1,50,8684.302192
PRIO,50,2,1,50,7687.931272999999
FIFO,50,2,2,0,8960.409937
FIFO,50,2,3,0,8960.243075999999
FIFO,50,2,1,50,7680.334704999999
FIFO,50,1,1,50,7988.943638
LIFO,50,3,1,50,7950.970176999999
LIFO,50,1,3,0,7912.801148
PRIO,50,3,3,0,7948.271608999999
PRIO,50,1,4,0,7924.487854999999
FIFO,50,3,2,0,7938.188832
PRIO,50,3,2,0,7946.495056
LIFO,50,2,2,0,7949.546657
PRIO,50,1,3,0,7917.740473
LIFO,50,1,4,0,7905.515374
LIFO,50,1,2,0,7892.320661
Priority of vertices calculated in 0.21037699999999998 milliseconds.
FIFO,50,3,3,0,7921.147801
PRIO,50,1,2,0,7906.56229
LIFO,50,2,3,0,7932.432476
FIFO,50,2,1,50,8787.042013999999
PRIO,50,3,2,0,8019.613918
LIFO,50,3,2,0,8339.909887
LIFO,50,3,3,0,8339.503655
FIFO,50,3,1,50,8695.766029999999
LIFO,50,2,1,50,8701.392634
PRIO,50,3,1,50,7974.215399
LIFO,50,2,1,50,7707.764260999999
PRIO,50,3,1,50,7704.195017
PRIO,50,1,1,50,7681.025256
FIFO,50,3,1,50,7694.660586
LIFO,50,3,1,50,8192.023911
LIFO,50,1,1,50,7665.754008
PRIO,50,2,1,50,7971.614326999999
LIFO,50,1,1,50,7967.129193999999
PRIO,50,1,2,0,8248.069
PRIO,50,1,3,0,8225.698609
PRIO,50,2,4,0,8055.3047719999995
PRIO,50,2,2,0,8055.644612
Priority of vertices calculated in 0.182284 milliseconds.
FIFO,50,2,1,50,7944.069025999999
Priority of vertices calculated in 0.181889 milliseconds.
Priority of vertices calculated in 0.172325 milliseconds.
FIFO,50,2,1,50,8751.934256
LIFO,50,1,2,0,8923.352542999999
FIFO,50,1,4,0,8925.165154
LIFO,50,1,4,0,8922.967446999999
FIFO,50,1,2,0,8925.818845
FIFO,50,1,3,0,8925.827175
Priority of vertices calculated in 0.20715999999999998 milliseconds.
LIFO,50,1,3,0,8932.519579
Priority of vertices calculated in 3.114506 milliseconds.
FIFO,50,3,1,50,7672.726554999999
Priority of vertices calculated in 3.1688449999999997 milliseconds.
Priority of vertices calculated in 1.126106 milliseconds.
FIFO,50,3,3,0,7721.036811
FIFO,50,3,2,0,7742.149294
FIFO,50,3,4,0,7740.251818
FIFO,50,2,1,50,8744.418805
LIFO,50,2,1,50,8755.962809999999
LIFO,50,1,1,50,8752.273045
FIFO,50,3,1,50,9235.753614
LIFO,50,3,1,50,8673.839021
PRIO,50,3,1,50,8681.035823
PRIO,50,2,1,50,8749.907826999999
LIFO,50,2,1,50,8695.525021
FIFO,50,1,1,50,8720.548348
FIFO,50,3,1,50,8694.273132
PRIO,50,3,3,0,8700.692532
FIFO,50,3,2,0,9255.716209999999
FIFO,50,3,2,0,8696.218153
FIFO,50,2,2,0,8921.662718
LIFO,50,2,4,0,8708.565628
LIFO,50,2,2,0,8920.982182
FIFO,50,3,3,0,9262.152683
LIFO,50,2,2,0,8709.725695
FIFO,50,2,1,50,8719.651903
PRIO,50,2,1,50,8724.420062
FIFO,50,1,3,0,8795.576975
FIFO,50,1,2,0,8803.061765999999
FIFO,50,1,4,0,8802.382306
LIFO,50,1,2,0,8866.194996999999
